;Country;League;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365>2.5;B365<2.5
225;England;England Premiere League;2022/12/02;Brentford;Crystal Palace;0;0;D;2,55;3,1;3;2,3;1,61
226;England;England Premiere League;2022/12/02;Everton;Leeds;3;0;H;2,25;3,5;3;1,66;2,2
227;England;England Premiere League;2022/12/02;Watford;Brighton;0;2;A;3,5;3,3;2,05;2,3;1,61
228;England;England Premiere League;2022/12/02;Norwich;Man City;0;4;A;15;8;1,16;1,44;2,75
224;England;England Premiere League;2022/12/02;Man United;Southampton;1;1;D;1,6;4;5,5;1,72;2,1
273;England;England Premiere League;2022/12/03;Man United;Tottenham;3;2;H;2,2;3,4;3,25;1,72;2,1
272;England;England Premiere League;2022/12/03;Brentford;Burnley;2;0;H;2,15;3,2;3,6;2,3;1,61
271;England;England Premiere League;2022/12/03;Brighton;Liverpool;0;2;A;6;4,33;1,5;1,72;2,1
357;England;England Premiere League;2022/12/05;Tottenham;Arsenal;3;0;H;2,05;3,75;3,5;1,8;2
142;England;England Premiere League;2022/12/11;Newcastle;Chelsea;1;0;H;2,35;3,4;3;1,98;1,92
143;England;England Premiere League;2022/12/11;Wolves;Arsenal;0;2;A;6;4,2;1,55;1,8;2
141;England;England Premiere League;2022/12/11;West Ham;Leicester;0;2;A;2,05;3,4;3,75;1,99;1,91
137;England;England Premiere League;2022/12/11;Bournemouth;Everton;3;0;H;2,8;3,25;2,6;2,1;1,72
139;England;England Premiere League;2022/12/11;Nott'm Forest;Crystal Palace;1;0;H;3,1;3,1;2,45;2,2;1,66
138;England;England Premiere League;2022/12/11;Liverpool;Southampton;3;1;H;1,25;6,5;11;1,4;3
136;England;England Premiere League;2022/12/11;Man City;Brentford;1;2;A;1,14;8;17;1,36;3,2
140;England;England Premiere League;2022/12/11;Tottenham;Leeds;4;3;H;1,65;4,2;4,75;1,61;2,3
151;England;England Premiere League;2022/12/26;Aston Villa;Liverpool;1;3;A;4,75;4;1,7;1,67;2,2
146;England;England Premiere League;2022/12/26;Brentford;Tottenham;2;2;D;4;3,6;1,91;1,8;2
147;England;England Premiere League;2022/12/26;Crystal Palace;Fulham;0;3;A;2,05;3,6;3,5;2,02;1,88
148;England;England Premiere League;2022/12/26;Everton;Wolves;1;2;A;2,3;3,25;3,2;2,2;1,67
149;England;England Premiere League;2022/12/26;Leicester;Newcastle;0;3;A;3,25;3,5;2,2;1,86;2,04
150;England;England Premiere League;2022/12/26;Southampton;Brighton;1;3;A;3,3;3,5;2,15;1,94;1,96
152;England;England Premiere League;2022/12/26;Arsenal;West Ham;3;1;H;1,5;4,33;6,5;1,73;2,1
154;England;England Premiere League;2022/12/27;Man United;Nott'm Forest;3;0;H;1,29;5,5;11;1,67;2,2
153;England;England Premiere League;2022/12/27;Chelsea;Bournemouth;2;0;H;1,3;5,5;10;1,67;2,2
155;England;England Premiere League;2022/12/28;Leeds;Man City;1;3;A;9,5;6;1,29;1,44;2,75
156;England;England Premiere League;2022/12/30;West Ham;Brentford;0;2;A;2;3,6;3,6;1,98;1,95
157;England;England Premiere League;2022/12/30;Liverpool;Leicester;2;1;H;1,29;6;9,5;1,44;2,75
158;England;England Premiere League;2022/12/31;Wolves;Man United;0;1;A;4;3,6;1,91;2,03;1,9
159;England;England Premiere League;2022/12/31;Bournemouth;Crystal Palace;0;2;A;2,8;3,3;2,5;2,1;1,73
160;England;England Premiere League;2022/12/31;Fulham;Southampton;2;1;H;1,95;3,6;3,75;1,73;2,1
161;England;England Premiere League;2022/12/31;Man City;Everton;1;1;D;1,13;9;19;1,36;3,2
162;England;England Premiere League;2022/12/31;Newcastle;Leeds;0;0;D;1,45;4,5;7;1,62;2,3
163;England;England Premiere League;2022/12/31;Brighton;Arsenal;2;4;A;3,4;3,5;2,1;1,89;2,04
164;England;England Premiere League;2023/01/01;Tottenham;Aston Villa;0;2;A;1,67;4;5;1,8;2
165;England;England Premiere League;2023/01/01;Nott'm Forest;Chelsea;1;1;D;5;3,8;1,7;2,02;1,91
240;England;England Premiere League;2023/01/03;Liverpool;Wolves;2;0;H;1,5;4,75;6;1,73;2,1
239;England;England Premiere League;2023/01/03;Arsenal;Everton;4;0;H;1,36;4,75;10;1,85;2,05
274;England;England Premiere League;2023/01/04;Crystal Palace;Leicester;2;1;H;2,5;3,25;2,9;2,1;1,73
270;England;England Premiere League;2023/01/04;Man City;Liverpool;4;1;H;1,62;4,2;5;1,67;2,2
271;England;England Premiere League;2023/01/04;Arsenal;Leeds;4;1;H;1,29;6;9;1,53;2,5
272;England;England Premiere League;2023/01/04;Bournemouth;Fulham;2;1;H;2,55;3,3;2,8;2;1,8
273;England;England Premiere League;2023/01/04;Brighton;Brentford;3;3;D;1,67;4;5;1,73;2,1
276;England;England Premiere League;2023/01/04;Chelsea;Aston Villa;0;2;A;1,67;3,8;5,25;1,97;1,93
275;England;England Premiere League;2023/01/04;Nott'm Forest;Wolves;1;1;D;3;3,1;2,55;2,38;1,57
332;England;England Premiere League;2023/01/05;Leicester;Everton;2;2;D;2;3,5;3,75;2,07;1,83
177;England;England Premiere League;2023/01/13;Aston Villa;Leeds;2;1;H;1,91;3,6;4;1,8;2
183;England;England Premiere League;2023/01/14;Brentford;Bournemouth;2;0;H;1,65;4;5,25;1,8;2
182;England;England Premiere League;2023/01/14;Wolves;West Ham;1;0;H;2,63;3,3;2,7;2,2;1,67
180;England;England Premiere League;2023/01/14;Everton;Southampton;1;2;A;2,25;3,25;3,3;2,1;1,73
181;England;England Premiere League;2023/01/14;Nott'm Forest;Leicester;2;0;H;2,7;3,3;2,63;2,03;1,87
178;England;England Premiere League;2023/01/14;Man United;Man City;2;1;H;4,2;3,6;1,85;1,73;2,1
179;England;England Premiere League;2023/01/14;Brighton;Liverpool;3;0;H;3,4;3,6;2,1;1,57;2,38
184;England;England Premiere League;2023/01/15;Chelsea;Crystal Palace;1;0;H;1,62;4;5,25;2,02;1,88
185;England;England Premiere League;2023/01/15;Newcastle;Fulham;1;0;H;1,5;4,33;6,5;1,73;2,1
186;England;England Premiere League;2023/01/15;Tottenham;Arsenal;0;2;A;3,1;3,6;2,2;1,8;2
187;England;England Premiere League;2023/01/18;Crystal Palace;Man United;1;1;D;4,5;3,6;1,8;1,97;1,93
188;England;England Premiere League;2023/01/19;Man City;Tottenham;4;2;H;1,36;5;8,5;1,53;2,5
194;England;England Premiere League;2023/01/21;Crystal Palace;Newcastle;0;0;D;4,4;3,5;1,85;2,1;1,73
193;England;England Premiere League;2023/01/21;West Ham;Everton;2;0;H;1,8;3,75;4,75;2,1;1,73
192;England;England Premiere League;2023/01/21;Southampton;Aston Villa;0;1;A;2,88;3,25;2,55;2,1;1,73
191;England;England Premiere League;2023/01/21;Leicester;Brighton;2;2;D;3,6;3,5;2,05;1,86;2,04
190;England;England Premiere League;2023/01/21;Bournemouth;Nott'm Forest;1;1;D;2,75;3,1;2,75;2,3;1,62
189;England;England Premiere League;2023/01/21;Liverpool;Chelsea;0;0;D;1,85;3,75;4;1,73;2,1
195;England;England Premiere League;2023/01/22;Leeds;Brentford;0;0;D;2,38;3,6;2,88;1,67;2,2
196;England;England Premiere League;2023/01/22;Man City;Wolves;3;0;H;1,2;8;11;1,5;2,63
197;England;England Premiere League;2023/01/22;Arsenal;Man United;3;2;H;1,8;3,8;4,2;1,73;2,1
198;England;England Premiere League;2023/01/23;Fulham;Tottenham;0;1;A;3,3;3,6;2,1;1,73;2,1
166;England;England Premiere League;2023/02/01;Brentford;Liverpool;3;1;H;5,5;4,33;1,55;1,57;2,38
278;England;England Premiere League;2023/02/04;Newcastle;Man United;2;0;H;2,4;3,4;2,9;1,95;1,95
277;England;England Premiere League;2023/02/04;West Ham;Southampton;1;0;H;1,73;3,6;5;2;1,8
333;England;England Premiere League;2023/02/05;Arsenal;Chelsea;3;1;H;1,6;4;5,5;1,73;2,1
219;England;England Premiere League;2023/02/13;Liverpool;Everton;2;0;H;1,5;4,33;6,5;1,73;2,1
220;England;England Premiere League;2023/02/15;Arsenal;Man City;1;3;A;2,9;3,5;2,35;1,88;2,02
221;England;England Premiere League;2023/02/18;Aston Villa;Arsenal;2;4;A;4,5;3,6;1,5;2,02;1,88
222;England;England Premiere League;2023/02/18;Brentford;Crystal Palace;1;1;D;1,83;3,5;4,5;2,1;1,73
223;England;England Premiere League;2023/02/18;Brighton;Fulham;0;1;A;1,65;3,8;5,5;1,73;2,1
224;England;England Premiere League;2023/02/18;Chelsea;Southampton;0;1;A;1,4;4,75;8,5;1,98;1,92
225;England;England Premiere League;2023/02/18;Everton;Leeds;1;0;H;2,4;3,3;3;2,1;1,73
226;England;England Premiere League;2023/02/18;Nott'm Forest;Man City;1;1;D;8,5;5,5;1,3;1,62;2,3
228;England;England Premiere League;2023/02/18;Newcastle;Liverpool;0;2;A;2,5;3,5;2,7;1,8;2
227;England;England Premiere League;2023/02/18;Wolves;Bournemouth;0;1;A;1,67;3,6;6;2,1;1,73
230;England;England Premiere League;2023/02/19;Tottenham;West Ham;2;0;H;1,75;3,6;4,75;1,88;2,02
229;England;England Premiere League;2023/02/19;Man United;Leicester;3;0;H;1,62;4,33;5,25;1,62;2,3
231;England;England Premiere League;2023/02/24;Fulham;Wolves;1;1;D;2,5;3,2;3;2,2;1,67
236;England;England Premiere League;2023/02/25;Bournemouth;Man City;1;4;A;10;5,75;1,29;1,57;2,38
235;England;England Premiere League;2023/02/25;West Ham;Nott'm Forest;4;0;H;1,75;3,6;5;2,2;1,67
234;England;England Premiere League;2023/02/25;Leicester;Arsenal;0;1;A;4,75;4;1,7;1,67;2,2
233;England;England Premiere League;2023/02/25;Leeds;Southampton;1;0;H;1,95;3,5;4;2,05;1,85
232;England;England Premiere League;2023/02/25;Everton;Aston Villa;0;2;A;2,5;3,2;3;2,3;1,62
237;England;England Premiere League;2023/02/25;Crystal Palace;Liverpool;0;0;D;4,75;3,8;1,73;1,85;2,05
238;England;England Premiere League;2023/02/26;Tottenham;Chelsea;2;0;H;2,55;3,25;2,9;2,08;1,82
170;England;England Premiere League;2023/03/01;Man United;Bournemouth;3;0;H;1,29;5,5;11;1,53;2,5
169;England;England Premiere League;2023/03/01;Leicester;Fulham;0;1;A;2,2;3,6;3,1;1,73;2,1
168;England;England Premiere League;2023/03/01;Everton;Brighton;1;4;A;3,5;3,5;2,1;2,02;1,88
167;England;England Premiere League;2023/03/01;Arsenal;Newcastle;0;0;D;1,8;3,8;4,33;1,8;2
199;England;England Premiere League;2023/03/02;Chelsea;Fulham;0;0;D;1,62;4;5,25;1,91;1,99
279;England;England Premiere League;2023/03/04;Everton;Tottenham;1;1;D;3,4;3,3;2,2;2,1;1,73
334;England;England Premiere League;2023/03/05;Liverpool;Fulham;1;0;H;1,25;5,75;11;1,44;2,75
335;England;England Premiere League;2023/03/05;Man City;West Ham;3;0;H;1,2;7;13;1,44;2,75
261;England;England Premiere League;2023/03/15;Brighton;Crystal Palace;1;0;H;1,44;4,2;8;1,93;1,97
262;England;England Premiere League;2023/03/15;Southampton;Brentford;0;2;A;2,88;3,25;2,5;2,1;1,73
263;England;England Premiere League;2023/03/17;Nott'm Forest;Newcastle;1;2;A;5,5;3,8;1,62;2,07;1,83
264;England;England Premiere League;2023/03/18;Aston Villa;Bournemouth;3;0;H;1,7;3,8;5;1,97;1,93
265;England;England Premiere League;2023/03/18;Brentford;Leicester;1;1;D;1,91;3,6;3,75;1,89;2,01
266;England;England Premiere League;2023/03/18;Southampton;Tottenham;3;3;D;4,75;3,6;1,75;2,06;1,84
267;England;England Premiere League;2023/03/18;Wolves;Leeds;2;4;A;2,25;3,2;3,3;2,2;1,67
268;England;England Premiere League;2023/03/18;Chelsea;Everton;2;2;D;1,5;4,2;7,5;2,1;1,73
269;England;England Premiere League;2023/03/19;Arsenal;Crystal Palace;4;1;H;1,25;5,5;15;1,73;2,1
171;England;England Premiere League;2023/04/01;Southampton;Nott'm Forest;0;1;A;2;3,5;3,8;2,06;1,84
172;England;England Premiere League;2023/04/01;Leeds;West Ham;2;2;D;2,6;3,5;2,6;1,8;2
173;England;England Premiere League;2023/04/01;Aston Villa;Wolves;1;1;D;1,95;3,6;4;2,08;1,82
174;England;England Premiere League;2023/04/01;Crystal Palace;Tottenham;0;4;A;3,4;3,5;2,15;1,92;1,98
205;England;England Premiere League;2023/04/02;Wolves;Liverpool;3;0;H;4;3,8;1,85;1,8;2
204;England;England Premiere League;2023/04/02;Man United;Crystal Palace;2;1;H;1,4;4,75;8;1,88;2,02
203;England;England Premiere League;2023/04/02;Brighton;Bournemouth;1;0;H;1,33;5,25;8,5;1,73;2,1
206;England;England Premiere League;2023/04/02;Newcastle;West Ham;1;1;D;1,6;3,8;6;2;1,8
202;England;England Premiere League;2023/04/02;Brentford;Southampton;3;0;H;1,85;3,6;4,2;2,04;1,86
201;England;England Premiere League;2023/04/02;Aston Villa;Leicester;2;4;A;1,95;3,6;3,8;1,94;1,96
200;England;England Premiere League;2023/04/02;Everton;Arsenal;1;0;H;8,5;4,5;1,4;1,87;2,03
247;England;England Premiere League;2023/04/03;Southampton;Leicester;1;0;H;2,75;3,3;2,6;2,06;1,84
245;England;England Premiere League;2023/04/03;Chelsea;Leeds;1;0;H;1,62;4;5,5;1,95;1,95
243;England;England Premiere League;2023/04/03;Aston Villa;Crystal Palace;1;0;H;2,05;3,3;3,8;2,3;1,62
242;England;England Premiere League;2023/04/03;Arsenal;Bournemouth;3;2;H;1,22;7;12;1,57;2,38
241;England;England Premiere League;2023/04/03;Man City;Newcastle;2;0;H;1,45;4,5;7;1,73;2,1
246;England;England Premiere League;2023/04/03;Wolves;Tottenham;1;0;H;3,3;3,4;2,2;2,1;1,73
244;England;England Premiere League;2023/04/03;Brighton;West Ham;4;0;H;1,8;3,6;4,5;1,95;1,95
280;England;England Premiere League;2023/04/04;Bournemouth;Brighton;0;2;A;6;4,2;1,53;1,8;2
281;England;England Premiere League;2023/04/04;Leeds;Nott'm Forest;2;1;H;1,7;3,75;5;1,98;1,92
283;England;England Premiere League;2023/04/04;Chelsea;Liverpool;0;0;D;2,2;3,4;3,25;1,95;1,95
282;England;England Premiere League;2023/04/04;Leicester;Aston Villa;1;2;A;2,55;3,3;2,75;1,99;1,91
336;England;England Premiere League;2023/04/05;Brighton;Man United;1;0;H;1,95;3,5;3,75;1,57;2,38
298;England;England Premiere League;2023/04/15;Everton;Fulham;1;3;A;2,05;3,4;3,7;2,2;1,67
296;England;England Premiere League;2023/04/15;Aston Villa;Newcastle;3;0;H;3,6;3,4;2,05;2,07;1,83
297;England;England Premiere League;2023/04/15;Chelsea;Brighton;1;2;A;2,63;3,4;2,63;1,94;1,96
299;England;England Premiere League;2023/04/15;Southampton;Crystal Palace;0;2;A;2,8;3,1;2,7;2,3;1,62
300;England;England Premiere League;2023/04/15;Tottenham;Bournemouth;2;3;A;1,45;4,5;7;1,67;2,2
301;England;England Premiere League;2023/04/15;Wolves;Brentford;2;0;H;2,45;3,1;3;2,2;1,67
302;England;England Premiere League;2023/04/15;Man City;Leicester;3;1;H;1,14;8,5;15;1,33;3,4
304;England;England Premiere League;2023/04/16;Nott'm Forest;Man United;0;2;A;5,5;4;1,62;1,8;2
303;England;England Premiere League;2023/04/16;West Ham;Arsenal;2;2;D;6;4,2;1,55;1,8;2
305;England;England Premiere League;2023/04/17;Leeds;Liverpool;1;6;A;4,2;4,2;1,73;1,57;2,38
306;England;England Premiere League;2023/04/21;Arsenal;Southampton;3;3;D;1,2;7;13;1,5;2,63
307;England;England Premiere League;2023/04/22;Fulham;Leeds;2;1;H;2,3;3,4;3,1;1,92;1,98
308;England;England Premiere League;2023/04/22;Brentford;Aston Villa;1;1;D;2,5;3,25;2,88;2;1,9
309;England;England Premiere League;2023/04/22;Crystal Palace;Everton;0;0;D;2,05;3,2;3,75;2,3;1,62
310;England;England Premiere League;2023/04/22;Leicester;Wolves;2;1;H;2,38;3,3;3;2,1;1,73
311;England;England Premiere League;2023/04/22;Liverpool;Nott'm Forest;3;2;H;1,17;7,5;17;1,44;2,75
312;England;England Premiere League;2023/04/23;Bournemouth;West Ham;0;4;A;2,88;3,2;2,55;2,1;1,73
313;England;England Premiere League;2023/04/23;Newcastle;Tottenham;6;1;H;1,83;3,75;4,2;1,86;2,04
315;England;England Premiere League;2023/04/25;Aston Villa;Fulham;1;0;H;1,75;4;4,2;1,81;2,09
316;England;England Premiere League;2023/04/25;Leeds;Leicester;1;1;D;2,3;3,5;3;1,73;2,1
314;England;England Premiere League;2023/04/25;Wolves;Crystal Palace;2;0;H;2,45;3,2;3;2,5;1,53
318;England;England Premiere League;2023/04/26;Chelsea;Brentford;0;2;A;1,7;4;4,75;2;1,9
319;England;England Premiere League;2023/04/26;West Ham;Liverpool;1;2;A;3,9;3,9;1,85;1,67;2,2
317;England;England Premiere League;2023/04/26;Nott'm Forest;Brighton;3;1;H;6;4,2;1,53;1,73;2,1
320;England;England Premiere League;2023/04/26;Man City;Arsenal;4;1;H;1,55;4,5;5,25;1,62;2,3
323;England;England Premiere League;2023/04/27;Tottenham;Man United;2;2;D;2,8;3,6;2,4;1,67;2,2
322;England;England Premiere League;2023/04/27;Southampton;Bournemouth;0;1;A;2,25;3,4;3,2;2,03;1,87
321;England;England Premiere League;2023/04/27;Everton;Newcastle;1;4;A;4,75;3,6;1,73;2;1,8
326;England;England Premiere League;2023/04/29;Brighton;Wolves;6;0;H;1,5;4,33;6,5;1,85;2,05
325;England;England Premiere League;2023/04/29;Brentford;Nott'm Forest;2;1;H;1,65;3,8;5,5;1,99;1,91
324;England;England Premiere League;2023/04/29;Crystal Palace;West Ham;4;3;H;2,63;3,25;2,75;2,2;1,67
327;England;England Premiere League;2023/04/30;Bournemouth;Leeds;4;1;H;2,55;3,5;2,7;1,8;2
328;England;England Premiere League;2023/04/30;Fulham;Man City;1;2;A;12;6;1,25;1,53;2,5
329;England;England Premiere League;2023/04/30;Man United;Aston Villa;1;0;H;1,73;3,9;4,6;1,67;2,2
330;England;England Premiere League;2023/04/30;Newcastle;Southampton;3;1;H;1,3;5,25;10;1,73;2,1
331;England;England Premiere League;2023/04/30;Liverpool;Tottenham;4;3;H;1,53;4,5;5,75;1,5;2,63
175;England;England Premiere League;2023/05/01;Chelsea;Man City;0;1;A;5;4;1,67;1,8;2
208;England;England Premiere League;2023/05/02;Tottenham;Man City;1;0;H;4,33;4,2;1,73;1,67;2,2
207;England;England Premiere League;2023/05/02;Nott'm Forest;Leeds;1;0;H;2,63;3,3;2,7;1,94;1,96
248;England;England Premiere League;2023/05/03;Nott'm Forest;Everton;2;2;D;2,7;3;2,88;2,5;1,53
249;England;England Premiere League;2023/05/03;Liverpool;Man United;7;0;H;2,38;3,6;2,88;1,67;2,2
285;England;England Premiere League;2023/05/04;West Ham;Newcastle;1;5;A;3,6;3,25;2,15;2,1;1,73
284;England;England Premiere League;2023/05/04;Man United;Brentford;1;0;H;1,65;4;5;1,73;2,1
348;England;England Premiere League;2023/05/13;Aston Villa;Tottenham;2;1;H;2,25;3,6;2,9;1,73;2,1
349;England;England Premiere League;2023/05/13;Chelsea;Nott'm Forest;2;2;D;1,5;4,5;6;1,86;2,04
350;England;England Premiere League;2023/05/13;Crystal Palace;Bournemouth;2;0;H;1,83;3,6;4,2;1,94;1,96
351;England;England Premiere League;2023/05/13;Man United;Wolves;2;0;H;1,36;5;7,5;1,67;2,2
352;England;England Premiere League;2023/05/13;Southampton;Fulham;0;2;A;2,75;3,3;2,5;1,91;1,99
347;England;England Premiere League;2023/05/13;Leeds;Newcastle;2;2;D;4,33;4,2;1,7;1,62;2,3
354;England;England Premiere League;2023/05/14;Everton;Man City;0;3;A;9;4,75;1,36;1,67;2,2
355;England;England Premiere League;2023/05/14;Arsenal;Brighton;0;3;A;1,73;4,2;4,2;1,53;2,5
353;England;England Premiere League;2023/05/14;Brentford;West Ham;2;0;H;2;3,5;3,6;2;1,9
356;England;England Premiere League;2023/05/15;Leicester;Liverpool;0;3;A;5,25;4,33;1,57;1,5;2,63
357;England;England Premiere League;2023/05/18;Newcastle;Brighton;4;1;H;2;3,8;3,5;1,62;2,3
358;England;England Premiere League;2023/05/20;Tottenham;Brentford;1;3;A;1,83;3,9;4;1,73;2,1
359;England;England Premiere League;2023/05/20;Bournemouth;Man United;0;1;A;6;4,75;1,5;1,57;2,38
360;England;England Premiere League;2023/05/20;Fulham;Crystal Palace;2;2;D;2,45;3,4;2,9;2,05;1,85
361;England;England Premiere League;2023/05/20;Liverpool;Aston Villa;1;1;D;1,45;5;6,25;1,53;2,5
362;England;England Premiere League;2023/05/20;Wolves;Everton;1;1;D;2,75;3,3;2,6;2,1;1,73
363;England;England Premiere League;2023/05/20;Nott'm Forest;Arsenal;1;0;H;5,25;4,33;1,57;1,57;2,38
364;England;England Premiere League;2023/05/21;West Ham;Leeds;3;1;H;2,4;3,5;2,88;1,8;2
366;England;England Premiere League;2023/05/21;Man City;Chelsea;1;0;H;1,25;6;11;1,5;2,63
365;England;England Premiere League;2023/05/21;Brighton;Southampton;3;1;H;1,22;7;11;1,4;3
367;England;England Premiere League;2023/05/22;Newcastle;Leicester;0;0;D;1,36;5,5;7;1,5;2,63
368;England;England Premiere League;2023/05/24;Brighton;Man City;1;1;D;4;4,33;1,75;1,53;2,5
369;England;England Premiere League;2023/05/25;Man United;Chelsea;4;1;H;1,6;4,33;5;1,57;2,38
376;England;England Premiere League;2023/05/28;Leeds;Tottenham;1;4;A;2,75;3,8;2,3;1,5;2,63
377;England;England Premiere League;2023/05/28;Leicester;West Ham;2;1;H;1,91;3,8;3,6;1,67;2,2
375;England;England Premiere League;2023/05/28;Everton;Bournemouth;1;0;H;1,5;4,5;6,5;1,67;2,2
374;England;England Premiere League;2023/05/28;Crystal Palace;Nott'm Forest;1;1;D;1,67;4;5;1,67;2,2
373;England;England Premiere League;2023/05/28;Chelsea;Newcastle;1;1;D;2,9;3,5;2,38;1,73;2,1
372;England;England Premiere League;2023/05/28;Brentford;Man City;1;0;H;3,8;4;1,83;1,62;2,3
370;England;England Premiere League;2023/05/28;Arsenal;Wolves;5;0;H;1,36;5,25;8;1,44;2,75
371;England;England Premiere League;2023/05/28;Aston Villa;Brighton;2;1;H;2;3,6;3,5;1,53;2,5
379;England;England Premiere League;2023/05/28;Southampton;Liverpool;4;4;D;6,5;4,75;1,44;1,4;3
378;England;England Premiere League;2023/05/28;Man United;Fulham;2;1;H;1,5;4,33;6;1,5;2,63
250;England;England Premiere League;2023/06/03;Brentford;Fulham;3;2;H;1,95;3,6;3,75;1,94;1,96
337;England;England Premiere League;2023/06/05;Bournemouth;Chelsea;1;3;A;3,3;3,5;2,15;1,99;1,91
338;England;England Premiere League;2023/06/05;Man City;Leeds;2;1;H;1,17;8,5;15;1,3;3,5
339;England;England Premiere League;2023/06/05;Tottenham;Crystal Palace;1;0;H;1,8;3,8;4,2;1,73;2,1
340;England;England Premiere League;2023/06/05;Wolves;Aston Villa;1;0;H;2,88;3,3;2,5;2,2;1,67
341;England;England Premiere League;2023/06/05;Liverpool;Brentford;1;0;H;1,44;5;6;1,5;2,63
342;England;England Premiere League;2023/07/05;Newcastle;Arsenal;0;2;A;2,45;3,75;2,63;1,62;2,3
343;England;England Premiere League;2023/07/05;West Ham;Man United;1;0;H;3,4;3,75;2,05;1,73;2,1
209;England;England Premiere League;2023/08/02;Man United;Leeds;2;2;D;1,45;5;6;1,57;2,38
286;England;England Premiere League;2023/08/04;Man United;Everton;2;0;H;1,5;4,33;6,5;1,86;2,04
288;England;England Premiere League;2023/08/04;Brentford;Newcastle;1;2;A;3,6;3,4;2,05;2,03;1,87
289;England;England Premiere League;2023/08/04;Fulham;West Ham;0;1;A;2,8;3,25;2,63;2,2;1,67
290;England;England Premiere League;2023/08/04;Leicester;Bournemouth;0;1;A;1,83;3,75;4,2;1,88;2,02
287;England;England Premiere League;2023/08/04;Aston Villa;Nott'm Forest;2;0;H;1,6;4,2;5,25;1,94;1,96
292;England;England Premiere League;2023/08/04;Wolves;Chelsea;1;0;H;4,2;3,5;1,91;2,2;1,67
293;England;England Premiere League;2023/08/04;Southampton;Man City;1;4;A;11;6;1,25;1,62;2,3
291;England;England Premiere League;2023/08/04;Tottenham;Brighton;2;1;H;2,55;3,5;2,7;1,85;2,05
346;England;England Premiere League;2023/08/05;Nott'm Forest;Southampton;4;3;H;2,1;3,6;3,4;2,03;1,87
345;England;England Premiere League;2023/08/05;Brighton;Everton;1;5;A;1,33;5,25;9;1,57;2,38
344;England;England Premiere League;2023/08/05;Fulham;Leicester;5;3;H;2,63;3,5;2,6;1,86;2,04
294;England;England Premiere League;2023/09/04;Leeds;Crystal Palace;1;5;A;2,1;3,4;3,6;2,1;1,73
295;England;England Premiere League;2023/09/04;Liverpool;Arsenal;2;2;D;2,88;3,6;2,38;1,62;2,3
215;England;England Premiere League;2023/11/02;Southampton;Wolves;1;2;A;2,9;3,2;2,55;2,3;1,62
216;England;England Premiere League;2023/11/02;Bournemouth;Newcastle;1;1;D;6,5;4;1,53;2,04;1,86
212;England;England Premiere League;2023/11/02;Crystal Palace;Brighton;1;1;D;3,8;3,5;2;2;1,8
211;England;England Premiere League;2023/11/02;Arsenal;Brentford;1;1;D;1,44;4,75;7;1,73;2,1
213;England;England Premiere League;2023/11/02;Fulham;Nott'm Forest;2;0;H;1,91;3,5;4,33;2,1;1,73
210;England;England Premiere League;2023/11/02;West Ham;Chelsea;1;1;D;3,3;3,3;2,25;2,2;1,67
214;England;England Premiere League;2023/11/02;Leicester;Tottenham;4;1;H;3,4;3,6;2,1;1,73;2,1
251;England;England Premiere League;2023/11/03;Bournemouth;Liverpool;1;0;H;7,5;5;1,4;1,62;2,3
253;England;England Premiere League;2023/11/03;Leeds;Brighton;2;2;D;3,75;3,6;1,95;1,89;2,04
255;England;England Premiere League;2023/11/03;Tottenham;Nott'm Forest;3;1;H;1,44;4,75;7;1,88;2,05
256;England;England Premiere League;2023/11/03;Crystal Palace;Man City;0;1;A;9;4,75;1,36;1,8;2
252;England;England Premiere League;2023/11/03;Everton;Brentford;1;0;H;2,7;3,25;2,7;2,2;1,67
254;England;England Premiere League;2023/11/03;Leicester;Chelsea;1;3;A;3,75;3,5;1,95;2,02;1,91
176;England;England Premiere League;2023/12/01;Fulham;Chelsea;2;1;H;3,3;3,5;2,15;1,87;2,03
218;England;England Premiere League;2023/12/02;Man City;Aston Villa;3;1;H;1,25;6,5;11;1,5;2,63
217;England;England Premiere League;2023/12/02;Leeds;Man United;0;2;A;3,75;3,8;1,91;1,67;2,2
257;England;England Premiere League;2023/12/03;Fulham;Arsenal;0;3;A;6;4;1,57;1,85;2,08
259;England;England Premiere League;2023/12/03;West Ham;Aston Villa;1;1;D;2,2;3,3;3,4;2,08;1,85
260;England;England Premiere League;2023/12/03;Newcastle;Wolves;2;1;H;1,65;3,75;5,5;2,2;1,67
258;England;England Premiere League;2023/12/03;Man United;Southampton;0;0;D;1,36;5;9;1,62;2,3
