;Country;League;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365>2.5;B365<2.5
126;England;England Premiere League;2021/11/28;Leicester;Watford;4;2;H;1,61;4;5,5;1,66;2,2
130;England;England Premiere League;2021/11/30;Leeds;Crystal Palace;1;0;H;2,4;3,3;3;1,94;1,96
129;England;England Premiere League;2021/11/30;Newcastle;Norwich;1;1;D;1,95;3,5;3,9;1,85;2,05
38;England;England Premiere League;2021/12/09;Leeds;Liverpool;0;3;A;4,33;4;1,75;1,57;2,37
155;England;England Premiere League;2021/12/12;Burnley;West Ham;0;0;D;3,6;3,6;2;1,87;2,03
156;England;England Premiere League;2021/12/12;Leicester;Newcastle;4;0;H;1,66;4,1;4,75;1,57;2,37
157;England;England Premiere League;2021/12/12;Crystal Palace;Everton;3;1;H;2,3;3,2;3,3;2,3;1,61
158;England;England Premiere League;2021/12/14;Norwich;Aston Villa;0;2;A;3,3;3,3;2,25;2,1;1,72
159;England;England Premiere League;2021/12/14;Man City;Leeds;7;0;H;1,14;8,5;15;1,36;3,2
162;England;England Premiere League;2021/12/15;Arsenal;West Ham;2;0;H;2,1;3,6;3,3;1,85;2,05
160;England;England Premiere League;2021/12/15;Brighton;Wolves;0;1;A;2,25;3,1;3,5;2,5;1,53
161;England;England Premiere League;2021/12/15;Crystal Palace;Southampton;2;2;D;2,15;3,3;3,5;2,1;1,72
164;England;England Premiere League;2021/12/16;Liverpool;Newcastle;3;1;H;1,12;9;19;1,33;3,4
163;England;England Premiere League;2021/12/16;Chelsea;Everton;1;1;D;1,22;6,5;13;1,72;2,1
165;England;England Premiere League;2021/12/18;Leeds;Arsenal;1;4;A;3,9;3,8;1,83;1,72;2,1
166;England;England Premiere League;2021/12/19;Newcastle;Man City;0;4;A;13;7,5;1,18;1,34;3,29
167;England;England Premiere League;2021/12/19;Wolves;Chelsea;0;0;D;7;4,2;1,5;2,1;1,72
168;England;England Premiere League;2021/12/19;Tottenham;Liverpool;2;2;D;5,25;4,75;1,53;1,66;2,2
169;England;England Premiere League;2021/12/26;Man City;Leicester;6;3;H;1,18;7,5;13;1,36;3,2
170;England;England Premiere League;2021/12/26;Norwich;Arsenal;0;5;A;8;4,75;1,4;1,72;2,1
171;England;England Premiere League;2021/12/26;Tottenham;Crystal Palace;3;0;H;1,72;3,8;4,75;1,95;1,95
172;England;England Premiere League;2021/12/26;West Ham;Southampton;2;3;A;1,8;3,9;4,2;1,72;2,1
173;England;England Premiere League;2021/12/26;Aston Villa;Chelsea;1;3;A;5,25;3,8;1,65;2,05;1,85
174;England;England Premiere League;2021/12/26;Brighton;Brentford;2;0;H;1,9;3,4;4,2;2,2;1,66
175;England;England Premiere League;2021/12/27;Newcastle;Man United;1;1;D;6,5;4,75;1,44;1,61;2,3
179;England;England Premiere League;2021/12/28;Leicester;Liverpool;1;0;H;8;5,5;1,33;1,3;3,5
178;England;England Premiere League;2021/12/28;Watford;West Ham;1;4;A;3,4;3,6;2,1;1,72;2,1
176;England;England Premiere League;2021/12/28;Crystal Palace;Norwich;3;0;H;1,65;3,75;5,5;2,2;1,66
177;England;England Premiere League;2021/12/28;Southampton;Tottenham;1;1;D;3,75;3,5;2;1,95;1,95
180;England;England Premiere League;2021/12/29;Chelsea;Brighton;1;1;D;1,4;4,5;7,5;1,93;1,97
181;England;England Premiere League;2021/12/29;Brentford;Man City;0;1;A;19;8;1,14;1,5;2,62
182;England;England Premiere League;2021/12/30;Man United;Burnley;3;1;H;1,36;5;9;1,72;2,1
183;England;England Premiere League;2022/01/01;Arsenal;Man City;1;2;A;5,75;4,75;1,5;1,57;2,37
184;England;England Premiere League;2022/01/01;Watford;Tottenham;0;1;A;5;4,2;1,61;1,72;2,1
185;England;England Premiere League;2022/01/01;Crystal Palace;West Ham;2;3;A;3,1;3,4;2,3;1,87;2,03
256;England;England Premiere League;2022/01/03;Burnley;Leicester;0;2;A;2,9;3,4;2,4;2,02;1,88
339;England;England Premiere League;2022/01/05;Tottenham;Leicester;3;1;H;1,44;4,75;7;1,57;2,37
